abakować,abakuję,abakujesz,abakuje,abakujemy,abakujecie,abakują
cudzołożyć,cudzołożę,cudzołożysz,cudzołoży,cudzołożymy,cudzołożycie,cudzołożą
cumować,cumuję,cumujesz,cumuje,cumujemy,cumujecie,cumują
cupać,cupię,cupiesz,cupie,cupiemy,cupiecie,cupią
cwałować,cwałuję,cwałujesz,cwałuje,cwałujemy,cwałujecie,cwałują
cwelić,cwelę,cwelisz,cweli,cwelimy,cwelicie,cwelą
ćwiczyć,ćwiczę,ćwiczysz,ćwiczy,ćwiczymy,ćwiczycie,ćwiczą
ćwiczyć się,ćwiczę się,ćwiczysz się,ćwiczy się,ćwiczymy się,ćwiczycie się,ćwiczą się
ćwierkać,ćwierkam,ćwierkasz,ćwierka,ćwierkamy,ćwierkacie,ćwierkają
cyckać,cyckam,cyckasz,cycka,cyckamy,cyckacie,cyckają
cykać,cykam,cykasz,cyka,cykamy,cykacie,cykają
cyklinować,cyklinuję,cyklinujesz,cyklinuje,cyklinujemy,cyklinujecie,cyklinują
cytować,cytuję,cytujesz,cytuje,cytujemy,cytujecie,cytują
cywilizować,cywilizuję,cywilizujesz,cywilizuje,cywilizujemy,cywilizujecie,cywilizują
cywilizować się,cywilizuję się,cywilizujesz się,cywilizuje się,cywilizujemy się,cywilizujecie się,cywilizują się
cyzelować,cyzeluję,cyzelujesz,cyzeluje,cyzelujemy,cyzelujecie,cyzelują
czaić,czaję,czaisz,czai,czaimy,czaicie,czają
czaić się,czaję się,czaisz się,czai się,czaimy się,czaicie się,czają się
czapkować,czapkuję,czapkujesz,czapkuje,czapkujemy,czapkujecie,czapkują
czarować,czaruję,czarujesz,czaruje,czarujemy,czarujecie,czarują
czarować się,czaruję się,czarujesz się,czaruje się,czarujemy się,czarujecie się,czarują się
czatować,czatuję,czatujesz,czatuje,czatujemy,czatujecie,czatują
czcić,czczę,czcisz,czci,czcimy,czcicie,czczą
czekać,czekam,czekasz,czeka,czekamy,czekacie,czekają
czepiać się,czepiam się,czepiasz się,czepia się,czepiamy się,czepiacie się,czepiają się
czerpać,czerpię,czerpiesz,czerpie,czerpiemy,czerpiecie,czerpią
czerwienić,czerwienię,czerwienisz,czerwieni,czerwienimy,czerwienicie,czerwienią
czerwienić się,czerwienię się,czerwienisz się,czerwieni się,czerwienimy się,czerwienicie się,czerwienią się
czesać,czeszę,czeszesz,czesze,czeszemy,czeszecie,czeszą
czesać się,czeszę się,czeszesz się,czesze się,czeszemy się,czeszecie się,czeszą się
czkać,czkam,czkasz,czka,czkamy,czkacie,czkają
czknąć,czknę,czkniesz,czknie,czkniemy,czkniecie,czkną
czniać,czniam,czniasz,cznia,czniamy,czniacie,czniają
czochrać,czochram,czochrasz,czochra,czochramy,czochracie,czochrają
czołgać się,czołgam się,czołgasz się,czołga się,czołgamy się,czołgacie się,czołgają się
czuć,czuję,czujesz,czuje,czujemy,czujecie,czują
czuć się,czuję się,czujesz się,czuje się,czujemy się,czujecie się,czują się
czuwać,czuwam,czuwasz,czuwa,czuwamy,czuwacie,czuwają
czynić,czynię,czynisz,czyni,czynimy,czynicie,czynią
czyścić,czyszczę,czyścisz,czyści,czyścimy,czyścicie,czyszczą
czytać,czytam,czytasz,czyta,czytamy,czytacie,czytają
dać,dam,dasz,da,damy,dacie,dadzą
dąć,dmę,dmiesz,dmie,dmiemy,dmiecie,dmą
dać się,dam się,dasz się,da się,damy się,dacie się,dadzą się
darować,daruję,darujesz,daruje,darujemy,darujecie,darują
darowywać,darowuję,darowujesz,darowuje,darowujemy,darowujecie,darowują
darzyć,darzę,darzysz,darzy,darzymy,darzycie,darzą
dawać,daję,dajesz,daje,dajemy,dajecie,dają
dawać się,daję się,dajesz się,daje się,dajemy się,dajecie się,dają się
dawić,dawię,dawisz,dawi,dawimy,dawicie,dawią
dążyć,dążę,dążysz,dąży,dążymy,dążycie,dążą
dbać,dbam,dbasz,dba,dbamy,dbacie,dbają
debatować,debatuję,debatujesz,debatuje,debatujemy,debatujecie,debatują
debiutować,debiutuję,debiutujesz,debiutuje,debiutujemy,debiutujecie,debiutują
dechrystianizować,dechrystianizuję,dechrystianizujesz,dechrystianizuje,dechrystianizujemy,dechrystianizujecie,dechrystianizują
decydować,decyduję,decydujesz,decyduje,decydujemy,decydujecie,decydują
decydować się,decyduję się,decydujesz się,decyduje się,decydujemy się,decydujecie się,decydują się
dedykować,dedykuję,dedykujesz,dedykuje,dedykujemy,dedykujecie,dedykują
deewangelizować,deewangelizuję,deewangelizujesz,deewangelizuje,deewangelizujemy,deewangelizujecie,deewangelizują
defilować,defiluję,defilujesz,defiluje,defilujemy,defilujecie,defilują
definiować,definiuję,definiujesz,definiuje,definiujemy,definiujecie,definiują
deformować,deformuję,deformujesz,deformuje,deformujemy,deformujecie,deformują
deformować się,deformuję się,deformujesz się,deformuje się,deformujemy się,deformujecie się,deformują się
defragmentować,defragmentuję,defragmentujesz,defragmentuje,defragmentujemy,defragmentujecie,defragmentują
defraudować,defrauduję,defraudujesz,defrauduje,defraudujemy,defraudujecie,defraudują
deglomerować,deglomeruję,deglomerujesz,deglomeruje,deglomerujemy,deglomerujecie,deglomerują
degradować,degraduję,degradujesz,degraduje,degradujemy,degradujecie,degradują
degradować się,degraduję się,degradujesz się,degraduje się,degradujemy się,degradujecie się,degradują się
degustować,degustuję,degustujesz,degustuje,degustujemy,degustujecie,degustują
deklamować,deklamuję,deklamujesz,deklamuje,deklamujemy,deklamujecie,deklamują
deklarować,deklaruję,deklarujesz,deklaruje,deklarujemy,deklarujecie,deklarują
deklarować się,deklaruję się,deklarujesz się,deklaruje się,deklarujemy się,deklarujecie się,deklarują się
deklinować,deklinuję,deklinujesz,deklinuje,deklinujemy,deklinujecie,deklinują
dekodować,dekoduję,dekodujesz,dekoduje,dekodujemy,dekodujecie,dekodują
dekolonizować,dekolonizuję,dekolonizujesz,dekolonizuje,dekolonizujemy,dekolonizujecie,dekolonizują
dekomunizować,dekomunizuję,dekomunizujesz,dekomunizuje,dekomunizujemy,dekomunizujecie,dekomunizują
dekomunizować się,dekomunizuję się,dekomunizujesz się,dekomunizuje się,dekomunizujemy się,dekomunizujecie się,dekomunizują się
dekorować,dekoruję,dekorujesz,dekoruje,dekorujemy,dekorujecie,dekorują
dekować,dekuję,dekujesz,dekuje,dekujemy,dekujecie,dekują
delegalizować,delegalizuję,delegalizujesz,delegalizuje,delegalizujemy,delegalizujecie,delegalizują
delegować,deleguję,delegujesz,deleguje,delegujemy,delegujecie,delegują
delektować się,delektuję się,delektujesz się,delektuje się,delektujemy się,delektujecie się,delektują się
deliberować,deliberuję,deliberujesz,deliberuje,deliberujemy,deliberujecie,deliberują
demaskować,demaskuję,demaskujesz,demaskuje,demaskujemy,demaskujecie,demaskują
demaskować się,demaskuję się,demaskujesz się,demaskuje się,demaskujemy się,demaskujecie się,demaskują się
dementować,dementuję,dementujesz,dementuje,dementujemy,dementujecie,dementują
demobilizować,demobilizuję,demobilizujesz,demobilizuje,demobilizujemy,demobilizujecie,demobilizują
demobilizować się,demobilizuję się,demobilizujesz się,demobilizuje się,demobilizujemy się,demobilizujecie się,demobilizują się
demokratyzować,demokratyzuję,demokratyzujesz,demokratyzuje,demokratyzujemy,demokratyzujecie,demokratyzują
demolować,demoluję,demolujesz,demoluje,demolujemy,demolujecie,demolują
demonizować,demonizuję,demonizujesz,demonizuje,demonizujemy,demonizujecie,demonizują
demonstrować,demonstruję,demonstrujesz,demonstruje,demonstrujemy,demonstrujecie,demonstrują
demontować,demontuję,demontujesz,demontuje,demontujemy,demontujecie,demontują
demoralizować,demoralizuję,demoralizujesz,demoralizuje,demoralizujemy,demoralizujecie,demoralizują
demoralizować się,demoralizuję się,demoralizujesz się,demoralizuje się,demoralizujemy się,demoralizujecie się,demoralizują się
denerwować,denerwuję,denerwujesz,denerwuje,denerwujemy,denerwujecie,denerwują
denerwować się,denerwuję się,denerwujesz się,denerwuje się,denerwujemy się,denerwujecie się,denerwują się
denuncjować,denuncjuję,denuncjujesz,denuncjuje,denuncjujemy,denuncjujecie,denuncjują
depaletyzować,depaletyzuję,depaletyzujesz,depaletyzuje,depaletyzujemy,depaletyzujecie,depaletyzują
depilować,depiluję,depilujesz,depiluje,depilujemy,depilujecie,depilują
deponować,deponuję,deponujesz,deponuje,deponujemy,deponujecie,deponują
deportować,deportuję,deportujesz,deportuje,deportujemy,deportujecie,deportują
deprawować,deprawuję,deprawujesz,deprawuje,deprawujemy,deprawujecie,deprawują
deprawować się,deprawuję się,deprawujesz się,deprawuje się,deprawujemy się,deprawujecie się,deprawują się
deprecjonować,deprecjonuję,deprecjonujesz,deprecjonuje,deprecjonujemy,deprecjonujecie,deprecjonują
deprymować,deprymuję,deprymujesz,deprymuje,deprymujemy,deprymujecie,deprymują
deptać,depczę,depczesz,depcze,depczemy,depczecie,depczą
deputować,deputuję,deputujesz,deputuje,deputujemy,deputujecie,deputują
destabilizować,destabilizuję,destabilizujesz,destabilizuje,destabilizujemy,destabilizujecie,destabilizują
destylować,destyluję,destylujesz,destyluje,destylujemy,destylujecie,destylują
desygnować,desygnuję,desygnujesz,desygnuje,desygnujemy,desygnujecie,desygnują
desztaplować,desztapluję,desztaplujesz,desztapluje,desztaplujemy,desztaplujecie,desztaplują
determinować,determinuję,determinujesz,determinuje,determinujemy,determinujecie,determinują
detronizować,detronizuję,detronizujesz,detronizuje,detronizujemy,detronizujecie,detronizują
dewaluować,dewaluuję,dewaluujesz,dewaluuje,dewaluujemy,dewaluujecie,dewaluują
dewaluować się,dewaluuję się,dewaluujesz się,dewaluuje się,dewaluujemy się,dewaluujecie się,dewaluują się
dewastować,dewastuję,dewastujesz,dewastuje,dewastujemy,dewastujecie,dewastują
dezaktualizować,dezaktualizuję,dezaktualizujesz,dezaktualizuje,dezaktualizujemy,dezaktualizujecie,dezaktualizują
dezaktualizować się,dezaktualizuję się,dezaktualizujesz się,dezaktualizuje się,dezaktualizujemy się,dezaktualizujecie się,dezaktualizują się
dezawuować,dezawuuję,dezawuujesz,dezawuuje,dezawuujemy,dezawuujecie,dezawuują
dezelować,dezeluję,dezelujesz,dezeluje,dezelujemy,dezelujecie,dezelują
dezerterować,dezerteruję,dezerterujesz,dezerteruje,dezerterujemy,dezerterujecie,dezerterują
dezodoryzować,dezodoryzuję,dezodoryzujesz,dezodoryzuje,dezodoryzujemy,dezodoryzujecie,dezodoryzują
dezorganizować,dezorganizuję,dezorganizujesz,dezorganizuje,dezorganizujemy,dezorganizujecie,dezorganizują
dezorganizować się,dezorganizuję się,dezorganizujesz się,dezorganizuje się,dezorganizujemy się,dezorganizujecie się,dezorganizują się
dezorientować,dezorientuję,dezorientujesz,dezorientuje,dezorientujemy,dezorientujecie,dezorientują
dezorientować się,dezorientuję się,dezorientujesz się,dezorientuje się,dezorientujemy się,dezorientujecie się,dezorientują się
dezynfekować,dezynfekuję,dezynfekujesz,dezynfekuje,dezynfekujemy,dezynfekujecie,dezynfekują
diagnozować,diagnozuję,diagnozujesz,diagnozuje,diagnozujemy,diagnozujecie,diagnozują
dmuchać,dmucham,dmuchasz,dmucha,dmuchamy,dmuchacie,dmuchają
dmuchać się,dmucham się,dmuchasz się,dmucha się,dmuchamy się,dmuchacie się,dmuchają się
dmuchnąć,dmuchnę,dmuchniesz,dmuchnie,dmuchniemy,dmuchniecie,dmuchną
dnieć,dnieję,dniejesz,dnieje,dniejemy,dniejecie,dnieją
dniować,dniuję,dniujesz,dniuje,dniujemy,dniujecie,dniują
dobić,dobiję,dobijesz,dobije,dobijemy,dobijecie,dobiją
dobiec,dobiegnę,dobiegniesz,dobiegnie,dobiegniemy,dobiegniecie,dobiegną
dobiegać,dobiegam,dobiegasz,dobiega,dobiegamy,dobiegacie,dobiegają
dobudować,dobuduję,dobudujesz,dobuduje,dobudujemy,dobudujecie,dobudują
dobudowywać,dobudowywuję,dobudowywujesz,dobudowywuje,dobudowywujemy,dobudowywujecie,dobudowywują
dobyć,dobędę,dobędziesz,dobędzie,dobędziemy,dobędziecie,dobędą
dobywać,dobywam,dobywasz,dobywa,dobywamy,dobywacie,dobywają
doceniać,doceniam,doceniasz,docenia,doceniamy,doceniacie,doceniają
doceniać się,doceniam się,doceniasz się,docenia się,doceniamy się,doceniacie się,doceniają się
docenić,docenię,docenisz,doceni,docenimy,docenicie,docenią
docenić się,docenię się,docenisz się,doceni się,docenimy się,docenicie się,docenią się
dochodzić,dochodzę,dochodzisz,dochodzi,dochodzimy,dochodzicie,dochodzą
dochować,dochowam,dochowasz,dochowa,dochowamy,dochowacie,dochowają
dochować się,dochowam się,dochowasz się,dochowa się,dochowamy się,dochowacie się,dochowają się
dochowywać,dochowuję,dochowujesz,dochowuje,dochowujemy,dochowujecie,dochowują
dochowywać się,dochowuję się,dochowujesz się,dochowuje się,dochowujemy się,dochowujecie się,dochowują się
dochrapać się,dochrapię się,dochrapiesz się,dochrapie się,dochrapiemy się,dochrapiecie się,dochrapią się
dociec,docieknę,dociekniesz,docieknie,dociekniemy,dociekniecie,dociekną
dociekać,dociekam,dociekasz,docieka,dociekamy,dociekacie,dociekają
docierać,docieram,docierasz,dociea,docieramy,docieracie,docierają
docierać się,docieram się,docierasz się,dociea się,docieramy się,docieracie się,docierają się
dociskać,dociskam,dociskasz,dociska,dociskamy,dociskacie,dociskają
dociskać się,dociskam się,dociskasz się,dociska się,dociskamy się,dociskacie się,dociskają się
docisnąć,docisnę,dociśniesz,dociśnie,dociśniemy,dociśniecie,docisną
docisnąć się,docisnę się,dociśniesz się,dociśnie się,dociśniemy się,dociśniecie się,docisną się
doczepiać,doczepiam,doczepiasz,doczepia,doczepiamy,doczepiacie,doczepiają
doczepiać się,doczepiam się,doczepiasz się,doczepia się,doczepiamy się,doczepiacie się,doczepiają się
doczepić,doczepię,doczepisz,doczepi,doczepimy,doczepicie,doczepią
doczepić się,doczepię się,doczepisz się,doczepi się,doczepimy się,doczepicie się,doczepią się
dodać,dodam,dodasz,doda,dodamy,dodacie,dodadzą
dodawać,dodaję,dodajesz,dodaje,dodajemy,dodajecie,dodają
dogadać,dogadam,dogadasz,dogada,dogadamy,dogadacie,dogadają
dogadać się,dogadam się,dogadasz się,dogada się,dogadamy się,dogadacie się,dogadają się
dogadywać,dogaduję,dogadujesz,dogaduje,dogadujemy,dogadujecie,dogadują
dogadywać się,dogaduję się,dogadujesz się,dogaduje się,dogadujemy się,dogadujecie się,dogadują się
dogadzać,dogadzam,dogadzasz,dogadza,dogadzamy,dogadzacie,dogadzają
doganiać,doganiam,doganiasz,dogania,doganiamy,doganiacie,doganiają
dogaszać,dogaszam,dogaszasz,dogasza,dogaszamy,dogaszacie,dogaszają
doglądać,doglądam,doglądasz,dogląda,doglądamy,doglądacie,doglądają
dogodzić,dogodzę,dogodzisz,dogodzi,dogodzimy,dogodzicie,dogodzą
dogonić,dogonię,dogonisz,dogoni,dogonimy,dogonicie,dogonią
dogorywać,dogorywam,dogorywasz,dogorywa,dogorywamy,dogorywacie,dogorywają
doić,doję,doisz,doi,doimy,doicie,doją
dojadać,dojadam,dojadasz,dojada,dojadamy,dojadacie,dojadają
dojebać,dojebię,dojebiesz,dojebie,dojebiemy,dojebiecie,dojebią
dojechać,dojadę,dojedziesz,dojedzie,dojedziemy,dojedziecie,dojadą
dojeść,dojem,dojesz,doje,dojemy,dojecie,dojedzą
dojeżdżać,dojeżdżam,dojeżdżasz,dojeżdża,dojeżdżamy,dojeżdżacie,dojeżdżają
dojrzeć,dojrzę,dojrzysz,dojrzy,dojrzymy,dojrzycie,dojrzą
dojrzewać,dojrzewam,dojrzewasz,dojrzewa,dojrzewamy,dojrzewacie,dojrzewają
dojść,dojdę,dojdziesz,dojdzie,dojdziemy,dojdziecie,dojdą
dokarmiać,dokarmiam,dokarmiasz,dokarmia,dokarmiamy,dokarmiacie,dokarmiają
dokazać,dokażę,dokażesz,dokaże,dokażemy,dokażecie,dokażą
dokazywać,dokazuję,dokazujesz,dokazuje,dokazujemy,dokazujecie,dokazują
dokonać,dokonam,dokonasz,dokona,dokonamy,dokonacie,dokonają
dokonać się,dokonam się,dokonasz się,dokona się,dokonamy się,dokonacie się,dokonają się
dokonywać,dokonuję,dokonujesz,dokonuje,dokonujemy,dokonujecie,dokonują
dokonywać się,dokonuję się,dokonujesz się,dokonuje się,dokonujemy się,dokonujecie się,dokonują się
dokręcać,dokręcam,dokręcasz,dokręca,dokręcamy,dokręcacie,dokręcają
dokształcać,dokształcam,dokształcasz,dokształca,dokształcamy,dokształcacie,dokształcają
dokształcać się,dokształcam się,dokształcasz się,dokształca się,dokształcamy się,dokształcacie się,dokształcają się
dokształcić,dokształcę,dokształcisz,dokształci,dokształcimy,dokształcicie,dokształcą
dokształcić się,dokształcę się,dokształcisz się,dokształci się,dokształcimy się,dokształcicie się,dokształcą się
doktoryzować się,doktoryzuję się,doktoryzujesz się,doktoryzuje się,doktoryzujemy się,doktoryzujecie się,doktoryzują się
dokuczać,dokuczam,dokuczasz,dokucza,dokuczamy,dokuczacie,dokuczają
dokuczyć,dokuczę,dokuczysz,dokuczy,dokuczymy,dokuczycie,dokuczą
dokładać,dokładam,dokładasz,dokłada,dokładamy,dokładacie,dokładają
dokładać się,dokładam się,dokładasz się,dokłada się,dokładamy się,dokładacie się,dokładają się
dolać,doleję,dolejesz,doleje,dolejemy,dolejecie,doleją
dolaryzować,dolaryzuję,dolaryzujeszsz,dolaryzujesz,dolaryzujeszmy,dolaryzujeszcie,dolaryzują
dolatywać,dolatuję,dolatujesz,dolatuje,dolatujemy,dolatujecie,dolatują
dolecieć,dolecę,dolecisz,doleci,dolecimy,dolecicie,dolecą
dolewać,dolewam,dolewasz,dolewa,dolewamy,dolewacie,dolewają
doliczać,doliczam,doliczasz,dolicza,doliczamy,doliczacie,doliczają
doliczać się,doliczam się,doliczasz się,dolicza się,doliczamy się,doliczacie się,doliczają się
doliczyć,doliczę,doliczysz,doliczy,doliczymy,doliczycie,doliczą
doliczyć się,doliczę się,doliczysz się,doliczy się,doliczymy się,doliczycie się,doliczą się
domacać,domacam,domacasz,domaca,domacamy,domacacie,domacają
domagać się,domagam się,domagasz się,domaga się,domagamy się,domagacie się,domagają się
domalować,domaluję,domalujesz,domaluje,domalujemy,domalujecie,domalują
domalowywać,domalowuję,domalowujesz,domalowuje,domalowujemy,domalowujecie,domalowują
domieszkać,domieszkam,domieszkasz,domieszka,domieszkamy,domieszkacie,domieszkają
domyślać się,domyślam się,domyślasz się,domyśla się,domyślamy się,domyślacie się,domyślają się
domyślić się,domyślę się,domyślisz się,domyśli się,domyślimy się,domyślicie się,domyślą się
donieść,doniosę,doniesiesz,doniesie,doniesiemy,doniesiecie,doniosą
donieść się,doniosę się,doniesiesz się,doniesie się,doniesiemy się,doniesiecie się,doniosą się
donosić,donoszę,donosisz,donosi,donosimy,donosicie,donoszą
donosić się,donoszę się,donosisz się,donosi się,donosimy się,donosicie się,donoszą się
dopadać,dopadam,dopadasz,dopada,dopadamy,dopadacie,dopadają
dopalić,dopalę,dopalisz,dopali,dopalimy,dopalicie,dopalą
dopaść,dopadnę,dopadniesz,dopadnie,dopadniemy,dopadniecie,dopadną
dopasować,dopasuję,dopasujesz,dopasuje,dopasujemy,dopasujecie,dopasują
dopasować się,dopasuję się,dopasujesz się,dopasuje się,dopasujemy się,dopasujecie się,dopasują się
dopasowywać,dopasowuję,dopasowujesz,dopasowuje,dopasowujemy,dopasowujecie,dopasowują
dopasowywać się,dopasowuję się,dopasowujesz się,dopasowuje się,dopasowujemy się,dopasowujecie się,dopasowują się
dopatrywać,dopatruję,dopatrujesz,dopatruje,dopatrujemy,dopatrujecie,dopatrują
dopatrywać się,dopatruję się,dopatrujesz się,dopatruje się,dopatrujemy się,dopatrujecie się,dopatrują się
dopatrzyć,dopatrzę,dopatrzysz,dopatrzy,dopatrzymy,dopatrzycie,dopatrzą
dopatrzyć się,dopatrzę się,dopatrzysz się,dopatrzy się,dopatrzymy się,dopatrzycie się,dopatrzą się
